Domain,Area,Element,Item,Year,Value,Flag,Flag Description
"Crops and livestock products","Mexico","Export Value","Wheat","2018","222221","","Official data"
"Crops and livestock products","Mongolia","Export Value","Wheat","2018","7","","Official data"
"Crops and livestock products","Morocco","Export Value","Wheat","2018","1","","Official data"
"Crops and livestock products","Mozambique","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Myanmar","Export Value","Wheat","2018","160","","Official data"
"Crops and livestock products","Namibia","Export Value","Wheat","2018","0","","Official data"
"Crops and livestock products","Nepal","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Netherlands","Export Value","Wheat","2018","103587","","Official data"
"Crops and livestock products","New Caledonia","Export Value","Wheat","2018","0","*","Unofficial figure"
"Crops and livestock products","New Zealand","Export Value","Wheat","2018","111","","Official data"
"Crops and livestock products","Nigeria","Export Value","Wheat","2018","1","R","Estimated data using trading partners database"
"Crops and livestock products","North Macedonia","Export Value","Wheat","2018","2891","","Official data"
"Crops and livestock products","Norway","Export Value","Wheat","2018","147","","Official data"
"Crops and livestock products","Oman","Export Value","Wheat","2018","785","","Official data"
"Crops and livestock products","Pakistan","Export Value","Wheat","2018","322417","","Official data"
"Crops and livestock products","Papua New Guinea","Export Value","Wheat","2018","388","*","Unofficial figure"
"Crops and livestock products","Paraguay","Export Value","Wheat","2018","83497","","Official data"
"Crops and livestock products","Peru","Export Value","Wheat","2018","157","","Official data"
"Crops and livestock products","Poland","Export Value","Wheat","2018","403215","","Official data"
"Crops and livestock products","Portugal","Export Value","Wheat","2018","6363","","Official data"
"Crops and livestock products","Republic of Korea","Export Value","Wheat","2018","3","","Official data"
"Crops and livestock products","Republic of Moldova","Export Value","Wheat","2018","93831","","Official data"
"Crops and livestock products","Romania","Export Value","Wheat","2018","1232666","","Official data"
"Crops and livestock products","Russian Federation","Export Value","Wheat","2018","8432493","","Official data"
"Crops and livestock products","Rwanda","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Saudi Arabia","Export Value","Wheat","2018","16","","Official data"
"Crops and livestock products","Senegal","Export Value","Wheat","2018","755","","Official data"
"Crops and livestock products","Serbia","Export Value","Wheat","2018","210378","","Official data"
"Crops and livestock products","Singapore","Export Value","Wheat","2018","477","","Official data"
"Crops and livestock products","Slovakia","Export Value","Wheat","2018","208778","","Official data"
"Crops and livestock products","Slovenia","Export Value","Wheat","2018","59081","","Official data"
"Crops and livestock products","Somalia","Export Value","Wheat","2018","2","*","Unofficial figure"
"Crops and livestock products","South Africa","Export Value","Wheat","2018","19550","","Official data"
"Crops and livestock products","South Sudan","Export Value","Wheat","2018","4","*","Unofficial figure"
"Crops and livestock products","Spain","Export Value","Wheat","2018","96977","","Official data"
"Crops and livestock products","Sri Lanka","Export Value","Wheat","2018","151","*","Unofficial figure"
"Crops and livestock products","Sudan","Export Value","Wheat","2018","1049","*","Unofficial figure"
"Crops and livestock products","Sweden","Export Value","Wheat","2018","88886","","Official data"
"Crops and livestock products","Switzerland","Export Value","Wheat","2018","151","","Official data"
"Crops and livestock products","Syrian Arab Republic","Export Value","Wheat","2018","2","*","Unofficial figure"
"Crops and livestock products","Thailand","Export Value","Wheat","2018","30","","Official data"
"Crops and livestock products","Togo","Export Value","Wheat","2018","","","Official data"
"Crops and livestock products","Tunisia","Export Value","Wheat","2018","1441","","Official data"
"Crops and livestock products","Turkey","Export Value","Wheat","2018","24038","","Official data"
"Crops and livestock products","Turkmenistan","Export Value","Wheat","2018","7950","F","FAO estimate"
"Crops and livestock products","Uganda","Export Value","Wheat","2018","28","","Official data"
"Crops and livestock products","Ukraine","Export Value","Wheat","2018","3004359","","Official data"
"Crops and livestock products","United Arab Emirates","Export Value","Wheat","2018","30561","","Official data"
"Crops and livestock products","United Kingdom of Great Britain and Northern Ireland","Export Value","Wheat","2018","83009","","Official data"
"Crops and livestock products","United Republic of Tanzania","Export Value","Wheat","2018","1240","","Official data"
"Crops and livestock products","United States of America","Export Value","Wheat","2018","5458267","","Official data"
"Crops and livestock products","Uruguay","Export Value","Wheat","2018","11702","","Official data"
"Crops and livestock products","Uzbekistan","Export Value","Wheat","2018","20484","","Official data"
"Crops and livestock products","Viet Nam","Export Value","Wheat","2018","9852","","Official data"
"Crops and livestock products","Yemen","Export Value","Wheat","2018","2362","","Official data"
"Crops and livestock products","Zimbabwe","Export Value","Wheat","2018","10","","Official data"
